source_file,dataset_name,task,model,horizon,requested_horizon_seconds,realized_horizon_mean_seconds,panel_median_seconds,classification_deadband,active_max_flat_seconds,n_rows_total,n_train_task,n_val_task,n_test_task,n_features,n_constant_dropped,constant_cols,cv_best_mae,train_mae,train_rmse,train_r2,train_sign_acc,train_corr,val_mae,val_rmse,val_r2,val_sign_acc,val_corr,test_mae,test_rmse,test_r2,test_sign_acc,test_corr,best_params,fit_seconds,error,is_best_for_horizon_regression,saved_model_path_regression,saved_pred_path_regression,cv_best_pr_auc,train_acc,train_bal_acc,train_f1,train_pr_auc,val_acc,val_bal_acc,val_f1,val_pr_auc,test_acc,test_bal_acc,test_f1,test_pr_auc,is_best_for_horizon_classification,saved_model_path_classification,saved_pred_path_classification
KXNBAGAME-26MAR07GSWOKC-GSW-features.parquet,KXNBAGAME-26MAR07GSWOKC-GSW,regression,ridge_reg,5s,5.0,5.0,0.1,0.0,30.0,135005,94503,20250,20252,21,0,[],0.0024503624192479603,0.0014039785464119046,0.003231995314115523,0.05416058513897892,0.09700221157000306,0.23272486015075206,0.0030841581282494233,0.005805065272166455,0.03410203743496021,0.17960493827160492,0.2111987956129869,0.007339530172819157,0.01583868450945431,0.01569669699481191,0.25977681216669957,0.14049626606494373,"{""model__alpha"": 10.0}",1.3422000408172607,,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07GSWOKC-GSW-5s-regression-ridge_reg.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07GSWOKC-GSW-5s-regression-best-preds.parquet,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR07GSWOKC-OKC-features.parquet,KXNBAGAME-26MAR07GSWOKC-OKC,regression,ridge_reg,5s,5.0,5.0,0.1,0.0,30.0,135085,94559,20262,20264,21,0,[],0.0028347690897542305,0.0012029115601334271,0.003249254094022465,0.0484349255416211,0.07372116879408623,0.2200796934707164,0.0027953599738480463,0.00571037440765409,0.011875527938447927,0.1391274306583753,0.14161268026667323,0.007489731880557052,0.015633947538740024,0.009691797833232929,0.25138176075799445,0.15371162473973884,"{""model__alpha"": 10.0}",0.3338761329650879,,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07GSWOKC-OKC-5s-regression-ridge_reg.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07GSWOKC-OKC-5s-regression-best-preds.parquet,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR07LACMEM-LAC-features.parquet,KXNBAGAME-26MAR07LACMEM-LAC,regression,ridge_reg,5s,5.0,5.0,0.1,0.0,30.0,123313,86319,18496,18498,21,0,[],0.004328485755109346,0.002744355501685963,0.006331847719578454,0.03924075385412784,0.14894750865973888,0.19809280355658151,0.005038495780248693,0.00925421454487395,0.02491666785137281,0.217560553633218,0.1802121862570853,0.012845308829339404,0.025585618337852396,0.018220528327608787,0.37971672613255486,0.148854261929565,"{""model__alpha"": 10.0}",0.29239606857299805,,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07LACMEM-LAC-5s-regression-ridge_reg.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07LACMEM-LAC-5s-regression-best-preds.parquet,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR07LACMEM-MEM-features.parquet,KXNBAGAME-26MAR07LACMEM-MEM,regression,ridge_reg,5s,5.0,5.0,0.1,0.0,30.0,123294,86305,18494,18495,21,0,[],0.0041043736638225236,0.00275976941323362,0.006212510742163973,0.048845183096183686,0.15457968831469787,0.2210094638164557,0.005026973784613768,0.009727436560087942,0.012794699875268156,0.23531956310154645,0.14585727589687258,0.013563435953738991,0.025450977583323955,-0.00868743156149221,0.3363611786969451,0.06836919003435854,"{""model__alpha"": 0.1}",0.28887128829956055,,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07LACMEM-MEM-5s-regression-ridge_reg.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07LACMEM-MEM-5s-regression-best-preds.parquet,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR07UTAMIL-MIL-features.parquet,KXNBAGAME-26MAR07UTAMIL-MIL,regression,ridge_reg,5s,5.0,5.0,0.1,0.0,30.0,113816,79671,17072,17073,21,0,[],0.002550907689403043,0.0017544484071123447,0.004097604648153576,0.048573773155771494,0.11541213239447226,0.22039474468591655,0.006237183549462475,0.011296981465778866,0.03695938010629807,0.27161433926897843,0.2349881426194261,0.006601156296331547,0.011677611572640665,-0.0822054260386691,0.18051894804662333,0.06264750505978099,"{""model__alpha"": 10.0}",0.2665688991546631,,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07UTAMIL-MIL-5s-regression-ridge_reg.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07UTAMIL-MIL-5s-regression-best-preds.parquet,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR07UTAMIL-UTA-features.parquet,KXNBAGAME-26MAR07UTAMIL-UTA,regression,ridge_reg,5s,5.0,5.0,0.1,0.0,30.0,113962,79773,17094,17095,21,0,[],0.002845323885134738,0.001795740311583992,0.0038581894222541628,0.06740662443067946,0.12763717047121206,0.2596289599029324,0.006070193327006495,0.010756842198225732,0.03259231664701123,0.31086931086931086,0.19217561663340482,0.007328649028450937,0.012153136570342019,-0.14865865628211639,0.19023106171395146,0.0688939351651621,"{""model__alpha"": 10.0}",0.2669839859008789,,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07UTAMIL-UTA-5s-regression-ridge_reg.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07UTAMIL-UTA-5s-regression-best-preds.parquet,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR10MEMPHI-MEM-features.parquet,KXNBAGAME-26MAR10MEMPHI-MEM,regression,ridge_reg,5s,5.0,5.003741601260213,0.1,0.0,30.0,217741,152418,32661,32662,21,0,[],0.0012624121756632872,0.00075470584559882,0.002580704817957242,0.032301312751709554,0.03702974714272592,0.17972672782172397,0.004578459961947725,0.008807653031629017,0.034654650508474494,0.2598511986773216,0.21400229627297943,0.007701585905968812,0.013259260946036078,-0.08336893693031411,0.20638662666095156,0.010961042560932534,"{""model__alpha"": 10.0}",0.5097470283508301,,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR10MEMPHI-MEM-5s-regression-ridge_reg.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR10MEMPHI-MEM-5s-regression-best-preds.parquet,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR10MEMPHI-PHI-features.parquet,KXNBAGAME-26MAR10MEMPHI-PHI,regression,ridge_reg,5s,5.0,5.004834990169236,0.1,0.0,30.0,217684,152378,32652,32654,21,0,[],0.0019528125146942282,0.0007651359094182598,0.002632962242084116,0.043021645215200466,0.03665883526493326,0.20741795741574434,0.0050268953472573175,0.008797411324957746,0.0008066164285498445,0.20782800441014332,0.1424128350607316,0.010893354858688415,0.015404509379496908,-0.529741570179826,0.21789061064494397,-0.0104830128857801,"{""model__alpha"": 10.0}",0.4386909008026123,,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR10MEMPHI-PHI-5s-regression-ridge_reg.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR10MEMPHI-PHI-5s-regression-best-preds.parquet,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR11CLEORL-CLE-features.parquet,KXNBAGAME-26MAR11CLEORL-CLE,regression,hist_gbrt_reg,5s,5.0,5.000042374732428,0.1,0.0,30.0,686730,480710,103009,103011,21,0,[],0.00011762080238468227,3.653908856146487e-05,0.0003984638207455724,0.08864638964215776,0.004749225104532878,0.3985244377259179,1.6724069050041612e-05,0.0003752759607164675,-0.001989966593945569,0.0,8.57871210849172e-17,0.003895800198102003,0.008597032940304915,0.00014150044345795365,0.1686615992466824,0.038486565488560096,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",2.748366117477417,,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR11CLEORL-CLE-5s-regression-hist_gbrt_reg.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR11CLEORL-CLE-5s-regression-best-preds.parquet,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR11CLEORL-ORL-features.parquet,KXNBAGAME-26MAR11CLEORL-ORL,regression,hist_gbrt_reg,5s,5.0,5.000056844697669,0.1,0.0,30.0,687839,481487,103175,103177,21,0,[],9.887739375266331e-05,2.943759158230613e-05,0.00036214074384105337,0.06587455304828171,0.004484025529245857,0.33427570532020445,9.544653714263161e-05,0.0008296640616848699,0.00034929178930054317,0.006881511994184638,0.020865212291427987,0.0041015738647307625,0.008845638480753365,-0.0004400632255561199,0.16895238279849192,0.053565261649721876,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",2.6868579387664795,,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR11CLEORL-ORL-5s-regression-hist_gbrt_reg.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR11CLEORL-ORL-5s-regression-best-preds.parquet,,,,,,,,,,,,,,,,
KXNBAGAME-26MAR07GSWOKC-GSW-features.parquet,KXNBAGAME-26MAR07GSWOKC-GSW,classification,hist_gb_clf,5s,5.0,5.0,0.1,0.0,30.0,68219,47753,10232,10234,21,0,[],,,,,,,,,,,,,,,,,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",1.0576229095458984,,,,,0.34348997710405077,0.8722593344920738,0.6668338343519665,0.49259690567293296,0.7407949908772665,0.7935887412040656,0.506185101203156,0.027624309392265192,0.4243370792505264,0.7485831541919094,0.5451872307324754,0.1936696960200564,0.48072440016556334,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07GSWOKC-GSW-5s-classification-hist_gb_clf.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07GSWOKC-GSW-5s-classification-best-preds.parquet
KXNBAGAME-26MAR07GSWOKC-OKC-features.parquet,KXNBAGAME-26MAR07GSWOKC-OKC,classification,logreg_clf,5s,5.0,5.0,0.1,0.0,30.0,58479,40935,8771,8773,21,0,[],,,,,,,,,,,,,,,,,"{""model__C"": 0.1}",0.250091552734375,,,,,0.32956989830053296,0.7041895688286307,0.7108507345205393,0.43576720562881505,0.35108835763773183,0.6304868316041501,0.6371481025133798,0.4620746887966805,0.37781364474247453,0.7309928188760971,0.6194269838181302,0.4326923076923077,0.49124917129097995,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07GSWOKC-OKC-5s-classification-logreg_clf.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07GSWOKC-OKC-5s-classification-best-preds.parquet
KXNBAGAME-26MAR07LACMEM-LAC-features.parquet,KXNBAGAME-26MAR07LACMEM-LAC,classification,logreg_clf,5s,5.0,5.0,0.1,0.0,30.0,74963,52474,11244,11245,21,0,[],,,,,,,,,,,,,,,,,"{""model__C"": 0.1}",0.3189420700073242,,,,,0.4150555831883513,0.6899797995197622,0.6862010319937631,0.48174577891048104,0.44382793695040623,0.7454642475987193,0.5840225274710444,0.3390300230946882,0.4365784857793303,0.5630057803468208,0.586705039152791,0.5787037037037037,0.525727919186109,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07LACMEM-LAC-5s-classification-logreg_clf.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07LACMEM-LAC-5s-classification-best-preds.parquet
KXNBAGAME-26MAR07LACMEM-MEM-features.parquet,KXNBAGAME-26MAR07LACMEM-MEM,classification,logreg_clf,5s,5.0,5.0,0.1,0.0,30.0,75328,52729,11299,11300,21,0,[],,,,,,,,,,,,,,,,,"{""model__C"": 10.0}",0.3276090621948242,,,,,0.3460677492319686,0.6553319805040869,0.6586176037400691,0.4587527547799154,0.39402121067143336,0.6195238516682893,0.5917187397746,0.4439270469538223,0.41902946072762276,0.5249557522123893,0.574437744956109,0.5157856756269168,0.4123056764464278,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07LACMEM-MEM-5s-classification-logreg_clf.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07LACMEM-MEM-5s-classification-best-preds.parquet
KXNBAGAME-26MAR07UTAMIL-MIL-features.parquet,KXNBAGAME-26MAR07UTAMIL-MIL,classification,hist_gb_clf,5s,5.0,5.0,0.1,0.0,30.0,64356,45049,9653,9654,21,0,[],,,,,,,,,,,,,,,,,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",1.1088740825653076,,,,,0.3106137853166391,0.8648804634953051,0.6585517544737987,0.47710677776823296,0.7559018263445042,0.7372837459857039,0.6452470683475855,0.4716666666666667,0.47098005282849725,0.5468199709964782,0.5042458199759647,0.2650764320510667,0.22521988922722472,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07UTAMIL-MIL-5s-classification-hist_gb_clf.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07UTAMIL-MIL-5s-classification-best-preds.parquet
KXNBAGAME-26MAR07UTAMIL-UTA-features.parquet,KXNBAGAME-26MAR07UTAMIL-UTA,classification,hist_gb_clf,5s,5.0,5.0,0.1,0.0,30.0,66408,46485,9961,9962,21,0,[],,,,,,,,,,,,,,,,,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",1.0646641254425049,,,,,0.36569813827600006,0.853458104764978,0.6727012408989403,0.506448340820171,0.7520613994102597,0.673827928922799,0.5772448563196563,0.3376146788990826,0.2932495371498066,0.5850230877333868,0.5445028193074477,0.3542642924086223,0.2587374553361407,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR07UTAMIL-UTA-5s-classification-hist_gb_clf.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR07UTAMIL-UTA-5s-classification-best-preds.parquet
KXNBAGAME-26MAR10MEMPHI-MEM-features.parquet,KXNBAGAME-26MAR10MEMPHI-MEM,classification,logreg_clf,5s,5.0,5.010856348792774,0.1,0.0,30.0,74841,52388,11226,11227,21,0,[],,,,,,,,,,,,,,,,,"{""model__C"": 0.1}",0.2948141098022461,,,,,0.38125530468655217,0.6832862487592578,0.6864489762064772,0.48963395878191324,0.4485847826398919,0.5501514341706752,0.6395266229265069,0.4997027937388548,0.35139641861942283,0.39396098690656456,0.5827986813496786,0.3422273781902552,0.20708575690390985,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR10MEMPHI-MEM-5s-classification-logreg_clf.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR10MEMPHI-MEM-5s-classification-best-preds.parquet
KXNBAGAME-26MAR10MEMPHI-PHI-features.parquet,KXNBAGAME-26MAR10MEMPHI-PHI,classification,logreg_clf,5s,5.0,5.014356840812986,0.1,0.0,30.0,73310,51317,10996,10997,21,0,[],,,,,,,,,,,,,,,,,"{""model__C"": 0.1}",0.30768895149230957,,,,,0.4074670195559338,0.6987353118849504,0.6920532232992389,0.47163362952836635,0.4060704985932161,0.6907057111676973,0.6500576831590131,0.516147389386826,0.4549292955836508,0.5073201782304265,0.5715168480848483,0.5220536344389556,0.4111641260779947,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR10MEMPHI-PHI-5s-classification-logreg_clf.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR10MEMPHI-PHI-5s-classification-best-preds.parquet
KXNBAGAME-26MAR11CLEORL-CLE-features.parquet,KXNBAGAME-26MAR11CLEORL-CLE,classification,hist_gb_clf,5s,5.0,5.000024120464491,0.1,0.0,30.0,87063,60944,13059,13060,21,0,[],,,,,,,,,,,,,,,,,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",1.3123829364776611,,,,,0.3416870140052495,0.9133630874245209,0.7652059956764824,0.6693800876643707,0.8266418293299868,0.6611532276590857,0.5191065931673555,0.16994935284186832,0.45138224241357583,0.7356049004594181,0.5119567719841951,0.15595208995355658,0.25504557286549084,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR11CLEORL-CLE-5s-classification-hist_gb_clf.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR11CLEORL-CLE-5s-classification-best-preds.parquet
KXNBAGAME-26MAR11CLEORL-ORL-features.parquet,KXNBAGAME-26MAR11CLEORL-ORL,classification,hist_gb_clf,5s,5.0,5.000438498115916,0.1,0.0,30.0,89168,62417,13375,13376,21,0,[],,,,,,,,,,,,,,,,,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",1.5107638835906982,,,,,0.320283454158181,0.8987935978980085,0.7539169262439507,0.6525111392265801,0.8142045401059933,0.6536822429906542,0.5841864723200316,0.41322523435520647,0.4520809909065348,0.7116477272727273,0.5158703475562914,0.10239702117756574,0.4548664373990957,1.0,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/models/mixed_tasks_active_5s/KXNBAGAME-26MAR11CLEORL-ORL-5s-classification-hist_gb_clf.joblib,/Users/henrych/Desktop/Kalshi-Market-Prediction/data/results/mixed_tasks_active_5s/predictions/KXNBAGAME-26MAR11CLEORL-ORL-5s-classification-best-preds.parquet
