n_train,n_val,n_test,positive_rate_train,positive_rate_val,positive_rate_test,roc_auc_val,pr_auc_val,brier_val,roc_auc_test,pr_auc_test,brier_test,best_threshold,val_f1_at_best_threshold,test_f1_at_best_threshold,test_precision_at_best_threshold,test_recall_at_best_threshold,test_name,fold,horizon,feature_set,n_features,purge_steps,used_markets,skipped_markets
13998,4135,4178,0.00550078582654665,0.01064087061668682,0.024413595021541407,0.973395035665874,0.17384337297311192,0.06861189377608275,0.9524933133214032,0.20370445618240565,0.08678309893251007,0.9,0.24512534818941503,0.33407572383073497,0.21613832853025935,0.7352941176470589,walk_forward,wf1,1min,price+local_depth+total_depth+imbalance,18,2,18,0
16803,4140,4175,0.006070344581324764,0.017391304347826087,0.037125748502994015,0.9571725117447831,0.166153614853826,0.0834449661891103,0.9438324506499759,0.2846784848891526,0.0683622229695765,0.9,0.2938388625592417,0.29357798165137616,0.27906976744186046,0.3096774193548387,walk_forward,wf2,1min,price+local_depth+total_depth+imbalance,18,2,18,0
19612,4138,4185,0.0074444217825820926,0.025374577090381826,0.14528076463560335,0.9597558239760076,0.27632869537928784,0.06859369878115046,0.768070034430499,0.29421829507781516,0.14408257983026157,0.7,0.3654223968565815,0.24737945492662475,0.34104046242774566,0.19407894736842105,walk_forward,wf3,1min,price+local_depth+total_depth+imbalance,18,2,18,0
13974,4097,4156,0.006440532417346501,0.015377105198926043,0.027670837343599614,0.969886913615223,0.2040849294985917,0.06574361659974227,0.9526613085439464,0.22338497965901044,0.08911075675653031,0.9,0.324468085106383,0.36363636363636365,0.23383084577114427,0.8173913043478261,walk_forward,wf1,1min30s,price+local_depth+total_depth+imbalance,18,3,18,0
16777,4102,4155,0.007808308994456697,0.0212091662603608,0.04187725631768953,0.957484147092083,0.19565317753080533,0.0832945357103127,0.9416538904624553,0.3033070184213048,0.07794149911931143,0.9,0.33406593406593404,0.3357664233576642,0.2911392405063291,0.39655172413793105,walk_forward,wf2,1min30s,price+local_depth+total_depth+imbalance,18,3,18,0
19583,4100,4164,0.009498034009089516,0.02878048780487805,0.1733909702209414,0.9556755399296836,0.28094928386671497,0.0749141003084573,0.7437150017463917,0.30719728387481543,0.16836035521898882,0.7,0.38528896672504376,0.2631578947368421,0.3588516746411483,0.2077562326869806,walk_forward,wf3,1min30s,price+local_depth+total_depth+imbalance,18,3,18,0
13943,4060,4135,0.007315498816610486,0.018226600985221674,0.03216444981862152,0.9730136559037713,0.2577542499168525,0.06213085214834312,0.954355529002416,0.25931643374969654,0.08579208424122244,0.9,0.3645833333333333,0.39114391143911437,0.2591687041564792,0.7969924812030075,walk_forward,wf1,2min,price+local_depth+total_depth+imbalance,18,4,18,0
16745,4064,4134,0.009316213795162735,0.02386811023622047,0.04886308659893566,0.959308626061918,0.2247340993962371,0.0814197168127257,0.9420268323882236,0.33302920927723845,0.07838087217165836,0.9,0.35517970401691334,0.3576158940397351,0.32270916334661354,0.400990099009901,walk_forward,wf2,2min,price+local_depth+total_depth+imbalance,18,4,18,0
19549,4061,4144,0.011151465548109878,0.032750554050726424,0.19763513513513514,0.957921152167588,0.3154090639527334,0.07161508911332948,0.7398073939427323,0.3416000830693891,0.17935669110316171,0.7,0.4322469982847341,0.2649640861931365,0.3824884792626728,0.2026862026862027,walk_forward,wf3,2min,price+local_depth+total_depth+imbalance,18,4,18,0
13920,4018,4117,0.007830459770114942,0.02040816326530612,0.03473402963322808,0.9721643862780092,0.28155632961963845,0.060521929853414674,0.9540369042130492,0.2677206746571652,0.08406614801409293,0.7,0.3864734299516908,0.433587786259542,0.27734375,0.993006993006993,walk_forward,wf1,2min30s,price+local_depth+total_depth+imbalance,18,5,18,0
16719,4025,4114,0.010467133201746515,0.025838509316770186,0.051288283908604765,0.963475761677751,0.2640634131237681,0.07981070883774254,0.9380340557087572,0.299004254605564,0.08150657474505237,0.8,0.3769230769230769,0.42789223454833597,0.32142857142857145,0.6398104265402843,walk_forward,wf2,2min30s,price+local_depth+total_depth+imbalance,18,5,18,0
19519,4024,4124,0.012193247604897792,0.03354870775347912,0.21290009699321047,0.9589135548508138,0.30323530800645404,0.07169824402304345,0.7255813006931958,0.3465759502738775,0.19511907968027578,0.8,0.44649446494464945,0.23567921440261866,0.4186046511627907,0.16400911161731208,walk_forward,wf3,2min30s,price+local_depth+total_depth+imbalance,18,5,18,0
13891,3983,4094,0.007558851054639695,0.021340697966357017,0.03786028334147533,0.9730027465065041,0.3095670063861553,0.05999981011078267,0.9531631575068177,0.28162351982543915,0.08122988592710623,0.8,0.40601503759398494,0.46273291925465837,0.3047034764826176,0.9612903225806452,walk_forward,wf1,3min,price+local_depth+total_depth+imbalance,18,6,18,0
16690,3984,4095,0.01030557219892151,0.025602409638554216,0.05787545787545788,0.9649538846965886,0.29190753208177295,0.07830216574411257,0.9414630785282596,0.34295042882299176,0.07894138695528254,0.9,0.38155136268343814,0.39338235294117646,0.3485342019543974,0.45147679324894513,walk_forward,wf2,3min,price+local_depth+total_depth+imbalance,18,6,18,0
19488,3987,4102,0.012058702791461411,0.037873087534487086,0.23281326182350073,0.9604133720970381,0.3388384465044179,0.06770574617157005,0.7259136516619334,0.3737886722972737,0.20031492515643062,0.8,0.4955116696588869,0.23692307692307693,0.4463768115942029,0.1612565445026178,walk_forward,wf3,3min,price+local_depth+total_depth+imbalance,18,6,18,0
13867,3942,4073,0.008220956227013774,0.0228310502283105,0.03682789098944267,0.9742125302872966,0.33643721922488806,0.05603900000058443,0.9514266292803127,0.3062875031597024,0.08099892969771073,0.8,0.4289405684754522,0.4483870967741935,0.2957446808510638,0.9266666666666666,walk_forward,wf1,3min30s,price+local_depth+total_depth+imbalance,18,7,18,0
16661,3949,4071,0.011103775283596422,0.024563180552038492,0.061164333087693444,0.9682317928295382,0.3212961991174824,0.07740957171140876,0.9425425406492532,0.3585349232434387,0.07783699556552154,0.8,0.3797979797979798,0.4811594202898551,0.3764172335600907,0.6666666666666666,walk_forward,wf2,3min30s,price+local_depth+total_depth+imbalance,18,7,18,0
19460,3949,4079,0.013001027749229187,0.03823752848822487,0.2507967639127237,0.9594959354696965,0.34070094119372407,0.06545922718357607,0.7239796845332228,0.39508681864743594,0.20805857957200594,0.8,0.5035971223021583,0.22480058013052936,0.4353932584269663,0.15151515151515152,walk_forward,wf3,3min30s,price+local_depth+total_depth+imbalance,18,7,18,0
13839,3903,4056,0.008960184984464195,0.02434025108890597,0.03796844181459566,0.9746765811587793,0.3475017626340545,0.05244089054871185,0.9531858454205969,0.32617075702240683,0.07936899940638359,0.9,0.4584527220630373,0.41894353369763204,0.2911392405063291,0.7467532467532467,walk_forward,wf1,4min,price+local_depth+total_depth+imbalance,18,8,18,0
16635,3910,4048,0.011842500751427712,0.026342710997442457,0.06373517786561265,0.971480741913848,0.389860868201498,0.07486744179604503,0.944094005031601,0.37749693516748944,0.07662881408397185,0.9,0.4190064794816415,0.4268502581755594,0.38390092879256965,0.4806201550387597,walk_forward,wf2,4min,price+local_depth+total_depth+imbalance,18,8,18,0
19430,3909,4061,0.013947503860010294,0.03837298541826554,0.2661905934498892,0.9621690165824244,0.37952833530177676,0.0637796817978115,0.7237243044906221,0.4139228404705543,0.2154298666405716,0.5,0.5008460236886633,0.3973696571160169,0.4036259541984733,0.391304347826087,walk_forward,wf3,4min,price+local_depth+total_depth+imbalance,18,8,18,0
13813,3866,4031,0.009701006298414538,0.025090532850491464,0.03770776482262466,0.9743731417177025,0.3480126166394244,0.04943744276763625,0.9528839500142468,0.31412897639121706,0.07627001629199584,0.7,0.48257372654155495,0.47665056360708535,0.31556503198294245,0.9736842105263158,walk_forward,wf1,4min30s,price+local_depth+total_depth+imbalance,18,9,18,0
16605,3872,4027,0.012586570310147547,0.026084710743801653,0.06506083933449218,0.9714338975663677,0.36543144519425474,0.07291015157471124,0.9440832091481403,0.3787870759656894,0.07696329848491956,0.9,0.41150442477876104,0.43389830508474575,0.3902439024390244,0.48854961832061067,walk_forward,wf2,4min30s,price+local_depth+total_depth+imbalance,18,9,18,0
19399,3870,4041,0.014897675137893706,0.036950904392764855,0.27121999505073,0.9622054897075021,0.35385753542961473,0.0626329237674164,0.7211827543900958,0.41603645307466425,0.22091830405037866,0.5,0.4964788732394366,0.4069660861594867,0.4088397790055249,0.4051094890510949,walk_forward,wf3,4min30s,price+local_depth+total_depth+imbalance,18,9,18,0
13785,3827,4013,0.010373594486760972,0.02586882675725111,0.03787690007475704,0.9735850999263017,0.34435200760581003,0.04777763305205754,0.9555763437342385,0.3305404344180981,0.07360762273877766,0.7,0.4891304347826087,0.4860426929392447,0.3238512035010941,0.9736842105263158,walk_forward,wf1,5min,price+local_depth+total_depth+imbalance,18,10,18,0
16577,3829,4011,0.013331724678771792,0.026638809088534866,0.06656694091249066,0.9714326299341847,0.37722049171643934,0.06980240138847639,0.9446235074746312,0.3883453029642814,0.07560306045068182,0.9,0.42761692650334077,0.4358108108108108,0.39692307692307693,0.48314606741573035,walk_forward,wf2,5min,price+local_depth+total_depth+imbalance,18,10,18,0
19372,3828,4020,0.015950856906875904,0.03474399164054336,0.2766169154228856,0.9634498967310021,0.36149967394471594,0.06203030635406331,0.7174595261892275,0.41876769484706233,0.22664381519666324,0.5,0.4889705882352941,0.41215914170764417,0.4097777777777778,0.414568345323741,walk_forward,wf3,5min,price+local_depth+total_depth+imbalance,18,10,18,0
13759,3787,3993,0.010611236281706519,0.027198310007921837,0.03831705484598046,0.9777732097867451,0.3998062955342985,0.04594033407252011,0.9578635620915034,0.35337552934392913,0.07525798783520087,0.9,0.5348837209302325,0.44165170556552963,0.30445544554455445,0.803921568627451,walk_forward,wf1,5min30s,price+local_depth+total_depth+imbalance,18,11,18,0
16549,3791,3989,0.013656414284851048,0.027433394882616723,0.06492855352218602,0.9716363105297197,0.37910246336331654,0.06771961837158631,0.9417278251058413,0.3669251871517809,0.0780807336294749,0.9,0.43792325056433407,0.4061433447098976,0.363914373088685,0.4594594594594595,walk_forward,wf2,5min30s,price+local_depth+total_depth+imbalance,18,11,18,0
19340,3791,3999,0.016649431230610134,0.032972830387760485,0.2840710177544386,0.9644211674849973,0.3606884294008557,0.061218273776776924,0.7173016706596549,0.42627512308228144,0.22449536559285313,0.8,0.4878048780487805,0.2545454545454545,0.4422657952069717,0.17869718309859156,walk_forward,wf3,5min30s,price+local_depth+total_depth+imbalance,18,11,18,0
13731,3752,3969,0.010924186148131964,0.02771855010660981,0.040312421264802216,0.9793643513832659,0.422210886193366,0.04458983847092886,0.9603865844053557,0.37410113039759607,0.07325937212734422,0.9,0.5525525525525525,0.48695652173913045,0.3373493975903614,0.875,walk_forward,wf1,6min,price+local_depth+total_depth+imbalance,18,12,18,0
16518,3757,3966,0.013984743915728296,0.028746340165025287,0.06530509329299042,0.973206763902845,0.4048112361854419,0.06484355313682905,0.9418662178306094,0.3684155399584671,0.07730493931192277,0.9,0.4520547945205479,0.4189189189189189,0.37237237237237236,0.47876447876447875,walk_forward,wf2,6min,price+local_depth+total_depth+imbalance,18,12,18,0
19308,3754,3978,0.017246737103791175,0.033297815663292485,0.29160382101558574,0.9676054009368972,0.4126286510058562,0.059394104159500756,0.7182310149041873,0.43426470182328214,0.2256505112333617,0.8,0.5010438413361169,0.24148606811145512,0.42857142857142855,0.16810344827586207,walk_forward,wf3,6min,price+local_depth+total_depth+imbalance,18,12,18,0
13705,3711,3950,0.011236774899671653,0.027755322015629212,0.03848101265822785,0.9790191160958388,0.4069214314141336,0.042180858258113615,0.9613976192455863,0.3790717405883559,0.073993524336409,0.9,0.5534591194968553,0.4741532976827095,0.3251833740831296,0.875,walk_forward,wf1,6min30s,price+local_depth+total_depth+imbalance,18,13,18,0
16491,3716,3948,0.014310836213692318,0.027179763186221746,0.06560283687943262,0.9731235364200319,0.40292417199759833,0.06351113197713106,0.9433021682953914,0.3803951470576764,0.0773923769127268,0.9,0.44761904761904764,0.4470198675496689,0.391304347826087,0.5212355212355212,walk_forward,wf2,6min30s,price+local_depth+total_depth+imbalance,18,13,18,0
19279,3714,3957,0.017739509310648893,0.033117932148626815,0.29492039423805916,0.9704070474288703,0.424940881166765,0.05721542648148521,0.7177233540033108,0.4383205460600469,0.2320971458843829,0.8,0.5032258064516129,0.2823667252489748,0.4462962962962963,0.20651242502142245,walk_forward,wf3,6min30s,price+local_depth+total_depth+imbalance,18,13,18,0
13677,3671,3930,0.01162535643781531,0.026968128575320077,0.03918575063613232,0.9777902202314297,0.3999131035993756,0.04093419597161676,0.9629065320272947,0.40946254537623716,0.0728428464141457,0.9,0.5369127516778524,0.48128342245989303,0.3316953316953317,0.8766233766233766,walk_forward,wf1,7min,price+local_depth+total_depth+imbalance,18,14,18,0
16461,3675,3930,0.014762165117550574,0.02802721088435374,0.0638676844783715,0.9745675643353375,0.4321322460725151,0.05960072737140387,0.9430102368454965,0.37991880071131884,0.07739436015555123,0.9,0.47146401985111663,0.4300341296928328,0.3761194029850746,0.50199203187251,walk_forward,wf2,7min,price+local_depth+total_depth+imbalance,18,14,18,0
19247,3678,3935,0.018288564451602846,0.03289831430125068,0.296569250317662,0.972241906890615,0.4515263636104724,0.05472272924169799,0.7136830641286634,0.43426750989179674,0.23524189501864506,0.8,0.5142857142857142,0.2906574394463668,0.4444444444444444,0.2159383033419023,walk_forward,wf3,7min,price+local_depth+total_depth+imbalance,18,14,18,0
13651,3635,3907,0.011794007764998901,0.027510316368638238,0.039672382902482727,0.9756548797736917,0.40176122314731916,0.03934449065483743,0.9635394456289978,0.4456394325688878,0.07112331887231008,0.8,0.538961038961039,0.48903878583473864,0.3310502283105023,0.9354838709677419,walk_forward,wf1,7min30s,price+local_depth+total_depth+imbalance,18,15,18,0
16433,3637,3908,0.01551755613704132,0.027770140225460545,0.0626919140225179,0.9762415438376417,0.48014519520756954,0.056723152368960424,0.9440405154690868,0.38593542943104997,0.07552157998060732,0.9,0.4804177545691906,0.4236983842010772,0.3782051282051282,0.4816326530612245,walk_forward,wf2,7min30s,price+local_depth+total_depth+imbalance,18,15,18,0
19215,3639,3916,0.01904761904761905,0.033250893102500685,0.29877425944841673,0.9729537349827805,0.47044148769508887,0.05137344381484673,0.7108228907937575,0.4319323196151136,0.2358070844603124,0.8,0.5321100917431193,0.2672864613596746,0.41742286751361163,0.19658119658119658,walk_forward,wf3,7min30s,price+local_depth+total_depth+imbalance,18,15,18,0
13623,3596,3888,0.011671438009249064,0.02586206896551724,0.040123456790123455,0.9759714407619889,0.40225550149477435,0.03787677369216365,0.9642420369912331,0.44917923622740596,0.0691501990428942,0.9,0.5267175572519084,0.49906890130353815,0.35170603674540685,0.8589743589743589,walk_forward,wf1,8min,price+local_depth+total_depth+imbalance,18,16,18,0
16405,3600,3885,0.01530021334958854,0.0275,0.06023166023166023,0.978476568022412,0.5015967609071298,0.05384589654618329,0.9436309452743306,0.3737786637858345,0.07608311380048953,0.8,0.4856396866840731,0.47962382445141066,0.3787128712871287,0.6538461538461539,walk_forward,wf2,8min,price+local_depth+total_depth+imbalance,18,16,18,0
19184,3600,3896,0.018869891576313594,0.0325,0.2962012320328542,0.9736154361477358,0.45117747209673953,0.04866396652801652,0.7062932090455043,0.42391346736703994,0.2378138582034423,0.7,0.5407925407925408,0.3333333333333333,0.4138817480719794,0.27902946273830154,walk_forward,wf3,8min,price+local_depth+total_depth+imbalance,18,16,18,0
13597,3553,3870,0.011693755975582849,0.02476780185758514,0.03772609819121447,0.9754066640430277,0.4045008350161766,0.03567605734736707,0.9643831937966247,0.43004659080455354,0.0689888826259541,0.9,0.5166666666666667,0.4932562620423892,0.34316353887399464,0.8767123287671232,walk_forward,wf1,8min30s,price+local_depth+total_depth+imbalance,18,17,18,0
16374,3563,3864,0.01551239770367656,0.02638226213864721,0.062111801242236024,0.9789288715246898,0.4939586909577717,0.051288281485214325,0.9454113778513613,0.3887512819459447,0.07482987438201613,0.8,0.48739495798319327,0.48513302034428796,0.38847117794486213,0.6458333333333334,walk_forward,wf2,8min30s,price+local_depth+total_depth+imbalance,18,17,18,0
19156,3558,3876,0.0192106911672583,0.02894884766722878,0.30108359133126933,0.975566577213269,0.44796304887866645,0.04777079714258924,0.7086869342503945,0.43141695798660173,0.23724607240356146,0.8,0.5230769230769231,0.2684485764090645,0.41696750902527074,0.19794344473007713,walk_forward,wf3,8min30s,price+local_depth+total_depth+imbalance,18,17,18,0
13569,3519,3846,0.011717886358611542,0.023586246092639953,0.036401456058242326,0.9720149515407381,0.4039102583306789,0.0328135583168187,0.9644842340605967,0.4425991492647538,0.06773469036468587,0.9,0.509090909090909,0.49101796407185627,0.3407202216066482,0.8785714285714286,walk_forward,wf1,9min,price+local_depth+total_depth+imbalance,18,18,18,0
16347,3519,3845,0.0154768459044473,0.025859619210002842,0.061378413524057214,0.9790606126662136,0.4695455827114515,0.048750804510979906,0.9461175216384651,0.386291704853877,0.07382944173730337,0.3,0.489247311827957,0.5392022008253095,0.39918533604887985,0.8305084745762712,walk_forward,wf2,9min,price+local_depth+total_depth+imbalance,18,18,18,0
19124,3521,3855,0.019190545910897302,0.027264981539335417,0.30817120622568095,0.9728892944038929,0.42672547688378504,0.046522137980559625,0.7089612535806761,0.43583908625601364,0.2345771350172855,0.1,0.5106382978723404,0.5853125853125853,0.43313131313131314,0.9023569023569024,walk_forward,wf3,9min,price+local_depth+total_depth+imbalance,18,18,18,0
13543,3478,3825,0.01159270471830466,0.022139160437032776,0.03712418300653595,0.968290456970257,0.4026920691703033,0.02988865192223315,0.9652514598861156,0.42419739222344877,0.06482301618662398,0.4,0.5076923076923077,0.5089605734767025,0.34134615384615385,1.0,walk_forward,wf1,9min30s,price+local_depth+total_depth+imbalance,18,19,18,0
16317,3483,3822,0.015505301219586935,0.024117140396210164,0.06096284667713239,0.9795598145112708,0.4471447052276355,0.047194970610885574,0.948030283280936,0.39213147853392505,0.07176465109285021,0.6,0.4827586206896552,0.5015015015015015,0.3856812933025404,0.7167381974248928,walk_forward,wf2,9min30s,price+local_depth+total_depth+imbalance,18,19,18,0
19093,3483,3834,0.019221704289530194,0.02641401091013494,0.31324986958789774,0.9731995179054531,0.40633353569074687,0.044273477774839386,0.7058186414473571,0.43796447431727037,0.23591206061496517,0.1,0.5168539325842697,0.5914270211611503,0.4386317907444668,0.9075770191507078,walk_forward,wf3,9min30s,price+local_depth+total_depth+imbalance,18,19,18,0
13515,3440,3806,0.011690714021457639,0.02063953488372093,0.03836048344718865,0.9641302848256055,0.38544876218821517,0.028486567379009918,0.9658563515233176,0.4085719463625972,0.05830059086620903,0.5,0.5023255813953489,0.5373134328358209,0.36923076923076925,0.9863013698630136,walk_forward,wf1,10min,price+local_depth+total_depth+imbalance,18,20,18,0
16289,3446,3800,0.015716127447971025,0.024376088218224026,0.06263157894736843,0.9805246310302824,0.46674055172440054,0.043451447949906234,0.9522574891832085,0.42294478486119613,0.06841690652143925,0.7,0.5077399380804953,0.525,0.417910447761194,0.7058823529411765,walk_forward,wf2,10min,price+local_depth+total_depth+imbalance,18,20,18,0
19064,3446,3810,0.019460763743180863,0.027278003482298318,0.31968503937007875,0.9747594322855837,0.4171267743644911,0.0407751589048187,0.7099696679438059,0.45009462446489884,0.2367598338800524,0.5,0.5481049562682215,0.44536767760697965,0.4507989907485282,0.4400656814449918,walk_forward,wf3,10min,price+local_depth+total_depth+imbalance,18,20,18,0
